"C","Forward Capacity Market Seasonal Peak Hour Report"
"C","Filename: fcmseasonalpeakhour_201912.csv"
"C","Report for: 12 2019"
"C","Report generated: 04/23/2021 12:45:21 EDT"
"H","Day","Hour Ending","Real-Time Hourly System Load","Seasonal 50/50 Peak Load Forecast","Data Status"
"H","Date","Number","Number","Number","String"
"D","12/19/2019",18,18883.577,20551,"FINAL"
"D","12/19/2019",19,18810.823,20551,"FINAL"
"D","12/19/2019",20,18595.913,20551,"FINAL"
"T","3 lines"
"T","Seasonal Peak Hours for a month are subject to change through the data reconciliation period"